     0,8  1,9  2,a  3,b  4,c  5,d  6,e  7,f
00: 0000 0000 0000 000a 0000 3998 0f02 0000
08: 0064 0064 0000 0000 0000 0000 0000 0000
10: 0000 0000 0000 0000 0000 0000 0000 0000
18: 0000 0000 0002 0008 0000 0008 0226 0000
20: 0000 0000 0000 0000 9800 0000 0000 0000
28: 0000 0000 0017 0000 ffde 000a 0000 0000
30: fff2 000a ffde 0001 0000 0000 0000 0000
38: 0000 0000 0000 0000 0000 0000 0000 0000
40: 0000 0000 0000 0000 0000 0000 0000 0000
48: 0000 0000 0000 0000 0000 0000 0000 0000
50: 0005 ff03 0000 0000 0020 0000 0000 9800
58: 0000 00ff 0001 005b 0000 0000 0000 0000
60: 0000 0001 002a 0000 0000 0000 0000 0000
68: 0000 0000 0000 0000 0000 0000 0000 0000
70: 0000 0000 0000 0000 0000 0000 0000 0000
78: 0000 0000 0000 0000 0000 0000 0000 0000
80: 0000 0000 0000 0000 0000 0000 0000 0000
88: 0000 0000 0000 0000 0000 0000 0000 0100
90: 0000 0000 0000 fff3 0000 000a ffde 0a4d
98: 0030 0f02 0000 0007 0001 4800 0cd9 00d6
a0: 00a0 00a1 00a2 00a3 00a4 00a5 00a6 00a7
a8: 00a8 00a9 00aa 00ab 00ac 00ad 00ae 00af
b0: 00b0 00b1 00b2 00b3 00b4 00b5 00b6 00b7
b8: 00b8 00b9 00ba 00bb 00bc 00bd 00be 00bf
c0: 00c0 00c1 00c2 00c3 00c4 00c5 00c6 00c7
c8: 00c8 00c9 00ca 00cb 00cc 00cd 00ce 00cf
d0: 00d0 00d1 00d2 00d3 00d4 00d5 00d6 00d7
d8: 00d8 00d9 00da 00db 00dc 00dd 00de 00df
e0: 00e0 00e1 00e2 00e3 00e4 00e5 00e6 00e7
e8: 00e8 00e9 00ea 000a 0000 0003 0988 0003
f0: 0000 0000 0000 0000 0000 0000 0002 0000
f8: 00ff 0026 0000 0000 0017 0001 00fe 0000
